atlasId,atlasName,cohortId,cohortName,table_name,fileRoot
1,[CHAPTER],1,atopic_dermatitis,allergy_cohorts,chapter_ad
1,[CHAPTER],2,anaphylaxis,allergy_cohorts,chapter_anaphylaxis
1,[CHAPTER],3,allergic_rhinitis,allergy_cohorts,chapter_ar
1,[CHAPTER],4,food_allergy,allergy_cohorts,chapter_fa
1,[CHAPTER],1,breastcancer_1yd,cancer_cohorts,chapter_breastcancer_1yeardeath
1,[CHAPTER],2,breastcancer_2yd,cancer_cohorts,chapter_breastcancer_2yeardeath
1,[CHAPTER],3,breastcancer_3yd,cancer_cohorts,chapter_breastcancer_3yeardeath
1,[CHAPTER],4,breastcancer,cancer_cohorts,chapter_breastcancer
1,[CHAPTER],5,colorectalcancer_1yd,cancer_cohorts,chapter_colorectalcancer_1yeardeath
1,[CHAPTER],6,colorectalcancer_2yd,cancer_cohorts,chapter_colorectalcancer_2yeardeath
1,[CHAPTER],7,colorectalcancer_3yd,cancer_cohorts,chapter_colorectalcancer_3yeardeath
1,[CHAPTER],8,colorectalcancer,cancer_cohorts,chapter_colorectalcancer
1,[CHAPTER],9,livercancer_1yd,cancer_cohorts,chapter_livercancer_1yeardeath
1,[CHAPTER],10,livercancer_2yd,cancer_cohorts,chapter_livercancer_2yeardeath
1,[CHAPTER],11,livercancer_3yd,cancer_cohorts,chapter_livercancer_3yeardeath
1,[CHAPTER],12,livercancer,cancer_cohorts,chapter_livercancer
1,[CHAPTER],13,lungcancer_1yd,cancer_cohorts,chapter_lungcancer_1yeardeath
1,[CHAPTER],14,lungcancer_2yd,cancer_cohorts,chapter_lungcancer_2yeardeath
1,[CHAPTER],15,lungcancer_3yd,cancer_cohorts,chapter_lungcancer_3yeardeath
1,[CHAPTER],16,lungcancer,cancer_cohorts,chapter_lungcancer
1,[CHAPTER],17,pancreascancer_1yd,cancer_cohorts,chapter_pancreascancer_1yeardeath
1,[CHAPTER],18,pancreascancer_2yd,cancer_cohorts,chapter_pancreascancer_2yeardeath
1,[CHAPTER],19,pancreascancer_3yd,cancer_cohorts,chapter_pancreascancer_3yeardeath
1,[CHAPTER],20,pancreascancer,cancer_cohorts,chapter_pancreascancer
1,[CHAPTER],21,prostatecancer_1yd,cancer_cohorts,chapter_prostatecancer_1yeardeath
1,[CHAPTER],22,prostatecancer_2yd,cancer_cohorts,chapter_prostatecancer_2yeardeath
1,[CHAPTER],23,prostatecancer_3yd,cancer_cohorts,chapter_prostatecancer_3yeardeath
1,[CHAPTER],24,prostatecancer,cancer_cohorts,chapter_prostatecancer
1,[CHAPTER],25,stomachcancer_1yd,cancer_cohorts,chapter_stomachcancer_1yeardeath
1,[CHAPTER],26,stomachcancer_2yd,cancer_cohorts,chapter_stomachcancer_2yeardeath
1,[CHAPTER],27,stomachcancer_3yd,cancer_cohorts,chapter_stomachcancer_3yeardeath
1,[CHAPTER],28,stomachcancer,cancer_cohorts,chapter_stomachcancer
1,[CHAPTER],1,afib_1yd,cardio_cohorts,chapter_afib_1yeardeath
1,[CHAPTER],2,afib_2yd,cardio_cohorts,chapter_afib_2yeardeath
1,[CHAPTER],3,afib_3yd,cardio_cohorts,chapter_afib_3yeardeath
1,[CHAPTER],4,afib,cardio_cohorts,chapter_afib
1,[CHAPTER],5,ami_1md,cardio_cohorts,chapter_ami_1monthdeath
1,[CHAPTER],6,ami_1yd,cardio_cohorts,chapter_ami_1yeardeath
1,[CHAPTER],7,ami_2yd,cardio_cohorts,chapter_ami_2yeardeath
1,[CHAPTER],8,ami_3md,cardio_cohorts,chapter_ami_3monthdeath
1,[CHAPTER],9,ami_3yd,cardio_cohorts,chapter_ami_3yeardeath
1,[CHAPTER],10,ami,cardio_cohorts,chapter_ami
1,[CHAPTER],11,as_1yd,cardio_cohorts,chapter_as_1yeardeath
1,[CHAPTER],12,as_2yd,cardio_cohorts,chapter_as_2yeardeath
1,[CHAPTER],13,as_3yd,cardio_cohorts,chapter_as_3yeardeath
1,[CHAPTER],14,as,cardio_cohorts,chapter_as
1,[CHAPTER],15,hf_1yd,cardio_cohorts,chapter_hf_1yeardeath
1,[CHAPTER],16,hf_2yd,cardio_cohorts,chapter_hf_2yeardeath
1,[CHAPTER],17,hf_3yd,cardio_cohorts,chapter_hf_3yeardeath
1,[CHAPTER],18,hf,cardio_cohorts,chapter_hf
1,[CHAPTER],19,hypertension_1yd,cardio_cohorts,chapter_hypertension_1yeardeath
1,[CHAPTER],20,hypertension_2yd,cardio_cohorts,chapter_hypertension_2yeardeath
1,[CHAPTER],21,hypertension_3yd,cardio_cohorts,chapter_hypertension_3yeardeath
1,[CHAPTER],22,hypertension,cardio_cohorts,chapter_hypertension
1,[CHAPTER],23,stroke_1md,cardio_cohorts,chapter_stroke_1monthdeath
1,[CHAPTER],24,stroke_1yd,cardio_cohorts,chapter_stroke_1yeardeath
1,[CHAPTER],25,stroke_2yd,cardio_cohorts,chapter_stroke_2yeardeath
1,[CHAPTER],26,stroke_3md,cardio_cohorts,chapter_stroke_3monthdeath
1,[CHAPTER],27,stroke_3yd,cardio_cohorts,chapter_stroke_3yeardeath
1,[CHAPTER],28,stroke,cardio_cohorts,chapter_stroke
1,[CHAPTER],1,mortality,general_cohorts,chapter_allcausemortality
1,[CHAPTER],2,inpatient_visit,general_cohorts,chapter_inpatientvisit
1,[CHAPTER],3,outpatient_visit,general_cohorts,chapter_outpatientvisit
1,[CHAPTER],1,asthma_1yd,pulmo_cohorts,chapter_asthma_1yeardeath
1,[CHAPTER],2,asthma_2yd,pulmo_cohorts,chapter_asthma_2yeardeath
1,[CHAPTER],3,asthma_3yd,pulmo_cohorts,chapter_asthma_3yeardeath
1,[CHAPTER],4,asthma,pulmo_cohorts,chapter_asthma
1,[CHAPTER],5,copd_1yd,pulmo_cohorts,chapter_copd_1yeardeath
1,[CHAPTER],6,copd_2yd,pulmo_cohorts,chapter_copd_2yeardeath
1,[CHAPTER],7,copd_3yd,pulmo_cohorts,chapter_copd_3yeardeath
1,[CHAPTER],8,copd,pulmo_cohorts,chapter_copd
1,[CHAPTER],9,ild_1yd,pulmo_cohorts,chapter_ild_1yeardeath
1,[CHAPTER],10,ild_2yd,pulmo_cohorts,chapter_ild_2yeardeath
1,[CHAPTER],11,ild_3yd,pulmo_cohorts,chapter_ild_3yeardeath
1,[CHAPTER],12,ild,pulmo_cohorts,chapter_ild
